country,iso3,year,month,type,expected.mean,acm.mean,excess.mean,cumul.excess.mean,cumul.excess.low,cumul.excess.high
Afghanistan,AFG,2020,1,Predicted,23143,24439,1296,1296,-4377,7871
Afghanistan,AFG,2020,2,Predicted,22452,22989,537,1833,-6626,10834
Afghanistan,AFG,2020,3,Predicted,21941,21554,-388,1445,-8641,12505
Afghanistan,AFG,2020,4,Predicted,21207,19998,-1209,236,-11972,12862
Afghanistan,AFG,2020,5,Predicted,20457,20584,127,363,-12100,13957
Afghanistan,AFG,2020,6,Predicted,19822,22238,2416,2779,-11455,17186
Afghanistan,AFG,2020,7,Predicted,19562,22810,3248,6027,-9588,22232
Afghanistan,AFG,2020,8,Predicted,19724,20872,1148,7175,-8939,23900
Afghanistan,AFG,2020,9,Predicted,20509,21721,1213,8387,-8830,25119
Afghanistan,AFG,2020,10,Predicted,21386,23935,2549,10936,-6874,28958
Afghanistan,AFG,2020,11,Predicted,22286,26847,4561,15498,-4236,35380
Afghanistan,AFG,2020,12,Predicted,23037,26932,3895,19392,-1297,40224
Afghanistan,AFG,2021,1,Predicted,23180,24824,1644,21037,-364,41959
Afghanistan,AFG,2021,2,Predicted,22490,22217,-273,20764,-616,42672
Afghanistan,AFG,2021,3,Predicted,21968,21943,-24,20739,-1916,43465
Afghanistan,AFG,2021,4,Predicted,21245,22756,1511,22250,-1128,47050
Afghanistan,AFG,2021,5,Predicted,20470,22935,2465,24716,382,51158
Afghanistan,AFG,2021,6,Predicted,19878,25401,5523,30239,4760,56464
Afghanistan,AFG,2021,7,Predicted,19605,25065,5460,35699,9193,63408
Afghanistan,AFG,2021,8,Predicted,19761,22762,3001,38700,11703,67168
Afghanistan,AFG,2021,9,Predicted,20554,21820,1266,39966,11950,69171
Afghanistan,AFG,2021,10,Predicted,21436,22736,1299,41265,13264,69941
Afghanistan,AFG,2021,11,Predicted,22327,24053,1726,42991,12962,73708
Afghanistan,AFG,2021,12,Predicted,23086,24628,1542,44533,14283,75667
Angola,AGO,2020,1,Predicted,18966,20125,1159,1159,-3499,6782
Angola,AGO,2020,2,Predicted,18940,19985,1045,2204,-4360,9991
Angola,AGO,2020,3,Predicted,18951,19921,970,3175,-5488,12645
Angola,AGO,2020,4,Predicted,18996,17739,-1257,1918,-7387,11934
Angola,AGO,2020,5,Predicted,19195,18218,-977,940,-10333,11240
Angola,AGO,2020,6,Predicted,19489,18749,-740,200,-11412,12296
Angola,AGO,2020,7,Predicted,19518,19629,111,311,-11792,13721
Angola,AGO,2020,8,Predicted,19280,20089,809,1120,-12213,14681
Angola,AGO,2020,9,Predicted,19040,20130,1090,2210,-11932,16579
Angola,AGO,2020,10,Predicted,18900,19817,917,3127,-12041,18793
Angola,AGO,2020,11,Predicted,18964,19934,970,4097,-11487,20025
Angola,AGO,2020,12,Predicted,18976,20218,1242,5339,-11074,23141
Angola,AGO,2021,1,Predicted,19007,20414,1407,6746,-10203,25470
Angola,AGO,2021,2,Predicted,18969,20768,1799,8546,-9119,28184
Angola,AGO,2021,3,Predicted,18982,20372,1390,9936,-9623,30875
Angola,AGO,2021,4,Predicted,19038,20159,1122,11057,-9487,33643
Angola,AGO,2021,5,Predicted,19231,21072,1841,12898,-7961,35477
Angola,AGO,2021,6,Predicted,19522,20840,1318,14216,-6973,37383
Angola,AGO,2021,7,Predicted,19554,21120,1566,15782,-6521,38893
Angola,AGO,2021,8,Predicted,19314,21375,2062,17844,-4324,42106
Angola,AGO,2021,9,Predicted,19074,21158,2085,19928,-3208,45276
Angola,AGO,2021,10,Predicted,18936,20331,1395,21324,-2123,47770
Angola,AGO,2021,11,Predicted,19004,19584,581,21904,-2499,48475
Angola,AGO,2021,12,Predicted,19011,19792,781,22685,-2695,49818
Albania,ALB,2020,1,Reported,3332,3106,-226,-226,-443,-26
Albania,ALB,2020,2,Reported,3164,2866,-298,-524,-832,-242
Albania,ALB,2020,3,Reported,2969,2830,-139,-663,-1018,-309
Albania,ALB,2020,4,Reported,2719,2562,-157,-820,-1214,-406
Albania,ALB,2020,5,Reported,2576,2561,-15,-835,-1266,-372
Albania,ALB,2020,6,Reported,2549,2526,-23,-859,-1336,-363
Albania,ALB,2020,7,Reported,2661,3076,415,-444,-931,62
Albania,ALB,2020,8,Reported,2582,3516,934,491,-44,1053
Albania,ALB,2020,9,Reported,2411,2815,404,894,342,1477
Albania,ALB,2020,10,Reported,2514,3413,899,1794,1210,2407
Albania,ALB,2020,11,Reported,2823,5473,2650,4444,3803,5106
Albania,ALB,2020,12,Reported,3335,4459,1124,5568,4877,6295
Albania,ALB,2021,1,Reported,3598,4263,665,6233,5515,6985
Albania,ALB,2021,2,Reported,3415,5358,1943,8176,7436,8966
Albania,ALB,2021,3,Reported,3209,4895,1686,9862,9037,10676
Albania,ALB,2021,4,Reported,2933,3435,502,10364,9453,11218
Albania,ALB,2021,5,Reported,2788,2661,-127,10237,9334,11098
Albania,ALB,2021,6,Reported,2758,2588,-170,10067,9121,10944
Albania,ALB,2021,7,Reported,2864,2585,-279,9789,8827,10743
Albania,ALB,2021,8,Reported,2793,2954,161,9949,8956,10929
Albania,ALB,2021,9,Reported,2599,3559,960,10909,9838,11871
Albania,ALB,2021,10,Reported,2704,3634,930,11839,10772,12791
Albania,ALB,2021,11,Reported,3049,3559,510,12349,11265,13376
Albania,ALB,2021,12,Reported,3597,3937,340,12689,11575,13710
Andorra,AND,2020,1,Reported,58,70,12,12,3,20
Andorra,AND,2020,2,Reported,58,76,18,30,17,42
Andorra,AND,2020,3,Reported,55,82,27,58,43,73
Andorra,AND,2020,4,Reported,51,124,73,131,114,148
Andorra,AND,2020,5,Reported,48,74,26,157,138,175
Andorra,AND,2020,6,Reported,48,54,6,163,143,182
Andorra,AND,2020,7,Reported,48,60,12,175,154,197
Andorra,AND,2020,8,Reported,49,39,-10,165,142,188
Andorra,AND,2020,9,Reported,50,56,6,170,148,194
Andorra,AND,2020,10,Reported,53,105,52,222,198,248
Andorra,AND,2020,11,Reported,55,39,-16,206,180,232
Andorra,AND,2020,12,Reported,58,84,26,232,205,261
Andorra,AND,2021,1,Predicted,60,85,26,257,216,304
Andorra,AND,2021,2,Predicted,59,70,11,268,211,332
Andorra,AND,2021,3,Predicted,56,67,10,278,215,359
Andorra,AND,2021,4,Predicted,52,68,16,295,217,387
Andorra,AND,2021,5,Predicted,50,59,9,304,214,403
Andorra,AND,2021,6,Predicted,49,53,4,307,211,415
Andorra,AND,2021,7,Predicted,49,61,11,318,212,436
Andorra,AND,2021,8,Predicted,51,63,13,331,215,462
Andorra,AND,2021,9,Predicted,52,56,4,335,208,477
Andorra,AND,2021,10,Predicted,54,60,6,341,203,491
Andorra,AND,2021,11,Predicted,57,69,12,353,200,518
Andorra,AND,2021,12,Predicted,59,81,22,375,212,552
United Arab Emirates,ARE,2020,1,Predicted,1938,1960,23,23,-428,573
United Arab Emirates,ARE,2020,2,Predicted,1911,1911,0,22,-580,769
United Arab Emirates,ARE,2020,3,Predicted,1893,1866,-27,-4,-775,914
United Arab Emirates,ARE,2020,4,Predicted,1837,1895,58,54,-872,1095
United Arab Emirates,ARE,2020,5,Predicted,1784,1972,188,242,-827,1373
United Arab Emirates,ARE,2020,6,Predicted,1754,2006,252,494,-697,1755
United Arab Emirates,ARE,2020,7,Predicted,1741,2050,309,803,-480,2178
United Arab Emirates,ARE,2020,8,Predicted,1740,1934,194,997,-347,2516
United Arab Emirates,ARE,2020,9,Predicted,1772,1802,31,1028,-466,2706
United Arab Emirates,ARE,2020,10,Predicted,1822,1794,-28,1000,-659,2689
United Arab Emirates,ARE,2020,11,Predicted,1864,1823,-41,959,-774,2726
United Arab Emirates,ARE,2020,12,Predicted,1911,1881,-30,929,-729,2736
United Arab Emirates,ARE,2021,1,Predicted,2035,2033,-2,927,-896,2805
United Arab Emirates,ARE,2021,2,Predicted,2008,2089,81,1008,-867,2994
United Arab Emirates,ARE,2021,3,Predicted,1985,2100,115,1123,-887,3228
United Arab Emirates,ARE,2021,4,Predicted,1925,2032,107,1229,-785,3375
United Arab Emirates,ARE,2021,5,Predicted,1869,2066,197,1426,-675,3670
United Arab Emirates,ARE,2021,6,Predicted,1841,2116,275,1701,-569,4071
United Arab Emirates,ARE,2021,7,Predicted,1829,2152,324,2025,-302,4470
United Arab Emirates,ARE,2021,8,Predicted,1830,2065,235,2260,-153,4739
United Arab Emirates,ARE,2021,9,Predicted,1856,1965,109,2369,-54,4966
United Arab Emirates,ARE,2021,10,Predicted,1914,1941,27,2397,-215,5045
United Arab Emirates,ARE,2021,11,Predicted,1955,1922,-33,2363,-414,5123
United Arab Emirates,ARE,2021,12,Predicted,2007,1973,-34,2330,-363,5142
Argentina,ARG,2020,1,Reported,26744,26537,-207,-207,-2096,1699
Argentina,ARG,2020,2,Reported,26028,24922,-1106,-1313,-3957,1351
Argentina,ARG,2020,3,Reported,27019,26577,-442,-1755,-5112,1488
Argentina,ARG,2020,4,Reported,28156,25882,-2274,-4029,-7947,-239
Argentina,ARG,2020,5,Reported,31244,28479,-2765,-6794,-11401,-2536
Argentina,ARG,2020,6,Reported,35118,29826,-5292,-12086,-17471,-6883
Argentina,ARG,2020,7,Reported,36392,37235,843,-11243,-17498,-5342
Argentina,ARG,2020,8,Reported,34186,38249,4063,-7180,-13906,-948
Argentina,ARG,2020,9,Reported,31585,41281,9696,2516,-4576,9275
Argentina,ARG,2020,10,Reported,29543,43961,14418,16934,9402,24197
Argentina,ARG,2020,11,Reported,27541,36757,9216,26150,18609,33338
Argentina,ARG,2020,12,Reported,26682,32224,5542,31692,23826,38985
Argentina,ARG,2021,1,Predicted,27775,31302,3583,35275,25378,44875
Argentina,ARG,2021,2,Predicted,27007,28134,1172,36447,25249,48363
Argentina,ARG,2021,3,Predicted,28022,30139,2060,38507,26006,51890
Argentina,ARG,2021,4,Predicted,29194,35372,6202,44710,30321,60713
Argentina,ARG,2021,5,Predicted,32560,45512,12893,57603,41417,75745
Argentina,ARG,2021,6,Predicted,36432,55948,19543,77146,57134,98888
Argentina,ARG,2021,7,Predicted,37582,46167,8428,85573,63371,109133
Argentina,ARG,2021,8,Predicted,35415,40457,5131,90704,66809,115655
Argentina,ARG,2021,9,Predicted,32646,30141,-2479,88225,64151,114722
Argentina,ARG,2021,10,Predicted,30603,29393,-1086,87139,61608,114460
Argentina,ARG,2021,11,Predicted,28620,28131,-448,86691,60410,115646
Argentina,ARG,2021,12,Predicted,27823,31017,3191,89882,62441,119254
Armenia,ARM,2020,1,Reported,2399,2567,168,168,46,295
Armenia,ARM,2020,2,Reported,2313,2434,121,289,100,470
Armenia,ARM,2020,3,Reported,2253,2288,35,323,105,556
Armenia,ARM,2020,4,Reported,2135,2156,21,344,87,608
Armenia,ARM,2020,5,Reported,2078,2103,25,369,73,663
Armenia,ARM,2020,6,Reported,2002,2869,867,1236,919,1552
Armenia,ARM,2020,7,Reported,2005,2719,714,1950,1603,2281
Armenia,ARM,2020,8,Reported,1910,2106,196,2146,1783,2481
Armenia,ARM,2020,9,Reported,1787,2042,255,2401,2036,2754
Armenia,ARM,2020,10,Reported,1953,3632,1679,4079,3703,4459
Armenia,ARM,2020,11,Reported,2213,6060,3847,7927,7538,8320
Armenia,ARM,2020,12,Reported,2403,4395,1992,9918,9515,10340
Armenia,ARM,2021,1,Reported,2351,3014,663,10582,10129,11034
Armenia,ARM,2021,2,Reported,2264,2418,154,10736,10268,11200
Armenia,ARM,2021,3,Reported,2201,2836,635,11370,10892,11865
Armenia,ARM,2021,4,Reported,2084,3361,1277,12647,12130,13173
Armenia,ARM,2021,5,Reported,2034,2633,599,13246,12726,13794
Armenia,ARM,2021,6,Reported,1958,2290,332,13578,13062,14138
Armenia,ARM,2021,7,Reported,1957,2247,290,13868,13318,14442
Armenia,ARM,2021,8,Reported,1873,2241,368,14236,13692,14807
Armenia,ARM,2021,9,Reported,1747,2559,812,15048,14479,15635
Armenia,ARM,2021,10,Reported,1909,3462,1553,16601,16038,17210
Armenia,ARM,2021,11,Reported,2163,4577,2414,19016,18431,19645
Armenia,ARM,2021,12,Reported,2354,3001,647,19663,19052,20301
Antigua and Barbuda,ATG,2020,1,Reported,55,53,-2,-2,-9,4
Antigua and Barbuda,ATG,2020,2,Reported,55,50,-5,-7,-16,2
Antigua and Barbuda,ATG,2020,3,Reported,55,63,8,1,-11,12
Antigua and Barbuda,ATG,2020,4,Reported,55,52,-3,-3,-17,10
Antigua and Barbuda,ATG,2020,5,Reported,55,55,0,-3,-19,11
Antigua and Barbuda,ATG,2020,6,Reported,55,44,-11,-14,-32,3
Antigua and Barbuda,ATG,2020,7,Reported,55,48,-7,-21,-40,-3
Antigua and Barbuda,ATG,2020,8,Reported,55,46,-9,-30,-51,-11
Antigua and Barbuda,ATG,2020,9,Reported,55,47,-8,-39,-59,-18
Antigua and Barbuda,ATG,2020,10,Reported,55,53,-2,-41,-62,-19
Antigua and Barbuda,ATG,2020,11,Reported,55,52,-3,-44,-67,-20
Antigua and Barbuda,ATG,2020,12,Reported,55,42,-13,-57,-81,-33
Antigua and Barbuda,ATG,2021,1,Predicted,57,49,-8,-65,-99,-30
Antigua and Barbuda,ATG,2021,2,Predicted,56,57,0,-64,-109,-19
Antigua and Barbuda,ATG,2021,3,Predicted,56,65,8,-56,-112,7
Antigua and Barbuda,ATG,2021,4,Predicted,56,57,0,-56,-122,15
Antigua and Barbuda,ATG,2021,5,Predicted,56,61,5,-51,-129,33
Antigua and Barbuda,ATG,2021,6,Predicted,56,50,-7,-58,-144,39
Antigua and Barbuda,ATG,2021,7,Predicted,57,54,-3,-61,-162,52
Antigua and Barbuda,ATG,2021,8,Predicted,56,54,-2,-63,-174,54
Antigua and Barbuda,ATG,2021,9,Predicted,56,77,20,-43,-172,93
Antigua and Barbuda,ATG,2021,10,Predicted,56,70,13,-29,-170,119
Antigua and Barbuda,ATG,2021,11,Predicted,56,62,6,-24,-170,140
Antigua and Barbuda,ATG,2021,12,Predicted,57,50,-6,-30,-184,137
Australia,AUS,2020,1,Reported,13254,12859,-395,-395,-927,100
Australia,AUS,2020,2,Reported,12111,12409,298,-97,-813,590
Australia,AUS,2020,3,Reported,13262,13561,299,202,-686,1071
Australia,AUS,2020,4,Reported,13352,13420,68,270,-729,1273
Australia,AUS,2020,5,Reported,14564,14058,-506,-235,-1425,889
Australia,AUS,2020,6,Reported,14833,13291,-1542,-1778,-3071,-499
Australia,AUS,2020,7,Reported,15972,14411,-1561,-3339,-4815,-1887
Australia,AUS,2020,8,Reported,16336,14837,-1499,-4838,-6445,-3349
Australia,AUS,2020,9,Reported,15179,13731,-1448,-6286,-7972,-4651
Australia,AUS,2020,10,Reported,14478,13443,-1035,-7321,-9128,-5489
Australia,AUS,2020,11,Reported,13402,12939,-463,-7784,-9805,-5871
Australia,AUS,2020,12,Reported,13245,13373,128,-7655,-9814,-5701
Australia,AUS,2021,1,Reported,13662,13111,-551,-8206,-10455,-6019
Australia,AUS,2021,2,Reported,12510,11936,-574,-8780,-11139,-6439
Australia,AUS,2021,3,Reported,13666,13541,-125,-8906,-11443,-6442
Australia,AUS,2021,4,Reported,13773,13524,-249,-9154,-11696,-6518
Australia,AUS,2021,5,Reported,15002,15009,7,-9147,-12085,-6345
Australia,AUS,2021,6,Reported,15292,14787,-505,-9652,-12686,-6732
Australia,AUS,2021,7,Reported,16471,15806,-665,-10318,-13496,-6989
Australia,AUS,2021,8,Reported,16830,15383,-1447,-11764,-15069,-8527
Australia,AUS,2021,9,Reported,15677,14521,-1156,-12921,-16486,-9540
Australia,AUS,2021,10,Reported,14918,14109,-809,-13730,-17459,-10367
Australia,AUS,2021,11,Reported,13837,13425,-412,-14142,-17978,-10540
Australia,AUS,2021,12,Reported,13646,13533,-113,-14255,-18123,-10510
Austria,AUT,2020,1,Reported,7986,8192,206,206,-153,564
Austria,AUT,2020,2,Reported,8059,7464,-595,-389,-924,116
Austria,AUT,2020,3,Reported,7777,8152,375,-14,-671,623
Austria,AUT,2020,4,Reported,7168,7458,290,276,-447,1019
Austria,AUT,2020,5,Reported,6769,6792,23,299,-503,1074
Austria,AUT,2020,6,Reported,6635,6503,-132,166,-622,1002
Austria,AUT,2020,7,Reported,6751,6791,40,206,-656,1099
Austria,AUT,2020,8,Reported,6763,6986,223,430,-494,1369
Austria,AUT,2020,9,Reported,6716,6965,249,678,-269,1669
Austria,AUT,2020,10,Reported,6961,7906,945,1623,570,2670
Austria,AUT,2020,11,Reported,7358,10330,2972,4596,3473,5716
Austria,AUT,2020,12,Reported,7998,9937,1939,6535,5347,7680
Austria,AUT,2021,1,Reported,8067,8720,653,7187,5913,8411
Austria,AUT,2021,2,Reported,8134,7168,-966,6221,4904,7522
Austria,AUT,2021,3,Reported,7857,7695,-162,6059,4734,7372
Austria,AUT,2021,4,Reported,7225,7496,271,6330,4943,7703
Austria,AUT,2021,5,Reported,6835,7190,355,6685,5183,8146
Austria,AUT,2021,6,Reported,6693,7040,347,7032,5509,8595
Austria,AUT,2021,7,Reported,6807,6984,177,7210,5651,8859
Austria,AUT,2021,8,Reported,6832,7255,423,7632,5970,9252
Austria,AUT,2021,9,Reported,6783,7177,394,8026,6354,9727
Austria,AUT,2021,10,Reported,7035,7949,914,8940,7180,10650
Austria,AUT,2021,11,Reported,7428,9339,1911,10851,9090,12593
Austria,AUT,2021,12,Reported,8073,9161,1088,11938,10079,13725
Azerbaijan,AZE,2020,1,Reported,7335,7537,202,202,-245,625
Azerbaijan,AZE,2020,2,Reported,7270,7336,66,268,-398,934
Azerbaijan,AZE,2020,3,Reported,7004,8432,1428,1696,873,2508
Azerbaijan,AZE,2020,4,Reported,7141,6567,-574,1122,224,2056
Azerbaijan,AZE,2020,5,Reported,6866,6251,-615,507,-554,1542
Azerbaijan,AZE,2020,6,Reported,6475,9031,2556,3063,1972,4157
Azerbaijan,AZE,2020,7,Reported,6872,9332,2460,5523,4326,6741
Azerbaijan,AZE,2020,8,Reported,6687,7351,664,6187,4931,7497
Azerbaijan,AZE,2020,9,Reported,6273,6580,307,6493,5186,7920
Azerbaijan,AZE,2020,10,Reported,6455,8406,1951,8444,7100,9915
Azerbaijan,AZE,2020,11,Reported,6837,12197,5360,13804,12338,15289
Azerbaijan,AZE,2020,12,Reported,7336,21110,13774,27578,26076,29113
Azerbaijan,AZE,2021,1,Reported,7342,11606,4264,31842,30174,33453
Azerbaijan,AZE,2021,2,Reported,7279,7812,533,32375,30568,34068
Azerbaijan,AZE,2021,3,Reported,7010,8263,1253,33628,31731,35373
Azerbaijan,AZE,2021,4,Reported,7124,10773,3649,37277,35185,39206
Azerbaijan,AZE,2021,5,Reported,6835,7912,1077,38354,36153,40235
Azerbaijan,AZE,2021,6,Reported,6465,7567,1102,39456,37252,41507
Azerbaijan,AZE,2021,7,Reported,6865,7406,541,39997,37716,42150
Azerbaijan,AZE,2021,8,Reported,6677,9462,2785,42782,40407,45039
Azerbaijan,AZE,2021,9,Reported,6260,10977,4717,47499,45044,49747
Azerbaijan,AZE,2021,10,Reported,6471,8703,2232,49731,47290,52096
Azerbaijan,AZE,2021,11,Reported,6829,11079,4250,53980,51486,56378
Azerbaijan,AZE,2021,12,Reported,7333,10361,3028,57008,54369,59551
Burundi,BDI,2020,1,Predicted,6425,6895,470,470,-1168,2467
Burundi,BDI,2020,2,Predicted,6452,6798,346,816,-1472,3549
Burundi,BDI,2020,3,Predicted,6448,6733,285,1101,-1826,4296
Burundi,BDI,2020,4,Predicted,6463,6694,231,1332,-2027,4909
Burundi,BDI,2020,5,Predicted,6438,6596,158,1490,-2377,5346
Burundi,BDI,2020,6,Predicted,6464,6632,168,1658,-2630,6117
Burundi,BDI,2020,7,Predicted,6466,6771,305,1963,-2627,7088
Burundi,BDI,2020,8,Predicted,6426,6880,454,2418,-2599,7600
Burundi,BDI,2020,9,Predicted,6391,6773,383,2800,-2540,8490
Burundi,BDI,2020,10,Predicted,6386,6738,352,3152,-2749,9242
Burundi,BDI,2020,11,Predicted,6429,6824,395,3547,-2660,10073
Burundi,BDI,2020,12,Predicted,6424,6972,549,4096,-2477,11037
Burundi,BDI,2021,1,Predicted,6471,6960,490,4586,-2330,11823
Burundi,BDI,2021,2,Predicted,6493,7018,526,5111,-2080,12485
Burundi,BDI,2021,3,Predicted,6481,7038,557,5668,-1977,13292
Burundi,BDI,2021,4,Predicted,6506,6856,350,6018,-1814,13845
Burundi,BDI,2021,5,Predicted,6484,6779,295,6313,-2017,14768
Burundi,BDI,2021,6,Predicted,6491,6952,461,6774,-1590,15307
Burundi,BDI,2021,7,Predicted,6505,7059,554,7328,-1203,15856
Burundi,BDI,2021,8,Predicted,6462,7010,548,7876,-957,16813
Burundi,BDI,2021,9,Predicted,6426,6894,468,8344,-725,17550
Burundi,BDI,2021,10,Predicted,6412,6733,321,8665,-594,18130
Burundi,BDI,2021,11,Predicted,6463,6823,360,9024,-884,18547
Burundi,BDI,2021,12,Predicted,6472,6785,313,9337,-811,19113
Belgium,BEL,2020,1,Reported,10665,10655,-10,-10,-450,414
Belgium,BEL,2020,2,Reported,10908,9778,-1130,-1140,-1860,-473
Belgium,BEL,2020,3,Reported,10625,12451,1826,686,-182,1575
Belgium,BEL,2020,4,Reported,9644,15736,6092,6777,5784,7775
Belgium,BEL,2020,5,Reported,9107,9868,761,7538,6451,8612
Belgium,BEL,2020,6,Reported,8785,8344,-441,7098,5928,8271
Belgium,BEL,2020,7,Reported,8864,8387,-477,6620,5369,7871
Belgium,BEL,2020,8,Reported,8758,10278,1520,8141,6817,9501
Belgium,BEL,2020,9,Reported,8688,8557,-131,8009,6651,9464
Belgium,BEL,2020,10,Reported,9095,11437,2342,10351,8929,11849
Belgium,BEL,2020,11,Reported,9629,14586,4957,15307,13793,16849
Belgium,BEL,2020,12,Reported,10674,12335,1661,16968,15300,18633
Belgium,BEL,2021,1,Reported,10764,11281,517,17485,15746,19219
Belgium,BEL,2021,2,Reported,11014,9344,-1670,15815,13851,17618
Belgium,BEL,2021,3,Reported,10716,9809,-907,14908,12915,16808
Belgium,BEL,2021,4,Reported,9742,9877,135,15044,12948,17104
Belgium,BEL,2021,5,Reported,9199,9659,460,15504,13358,17654
Belgium,BEL,2021,6,Reported,8862,8515,-347,15157,12945,17312
Belgium,BEL,2021,7,Reported,8936,8829,-107,15050,12808,17231
Belgium,BEL,2021,8,Reported,8838,8677,-161,14889,12589,17229
Belgium,BEL,2021,9,Reported,8785,8674,-111,14778,12438,17080
Belgium,BEL,2021,10,Reported,9181,10260,1079,15857,13479,18177
Belgium,BEL,2021,11,Reported,9740,10852,1112,16969,14519,19403
Belgium,BEL,2021,12,Reported,10773,11722,949,17918,15368,20384
Benin,BEN,2020,1,Predicted,7888,8500,612,612,-1257,2939
Benin,BEN,2020,2,Predicted,7767,8317,550,1162,-1686,4465
Benin,BEN,2020,3,Predicted,7667,7777,111,1273,-2090,5066
Benin,BEN,2020,4,Predicted,7683,7383,-300,973,-2967,5342
Benin,BEN,2020,5,Predicted,7745,7743,-2,971,-3334,5382
Benin,BEN,2020,6,Predicted,7835,8636,801,1772,-2975,6623
Benin,BEN,2020,7,Predicted,7929,8826,897,2669,-2626,7803
Benin,BEN,2020,8,Predicted,7963,8570,608,3276,-2319,9255
Benin,BEN,2020,9,Predicted,7938,8213,275,3552,-2513,9721
Benin,BEN,2020,10,Predicted,7878,7795,-83,3469,-3127,9955
Benin,BEN,2020,11,Predicted,7842,7918,76,3545,-3321,10643
Benin,BEN,2020,12,Predicted,7844,8232,388,3933,-3354,11319
Benin,BEN,2021,1,Predicted,7924,8485,561,4494,-3031,12407
Benin,BEN,2021,2,Predicted,7804,9012,1208,5702,-2263,13861
Benin,BEN,2021,3,Predicted,7698,8856,1158,6860,-1243,15799
Benin,BEN,2021,4,Predicted,7715,8560,845,7705,-753,16687
Benin,BEN,2021,5,Predicted,7779,8431,652,8357,-946,17194
Benin,BEN,2021,6,Predicted,7869,8642,773,9130,-253,19086
Benin,BEN,2021,7,Predicted,7962,8737,774,9904,653,19998
Benin,BEN,2021,8,Predicted,7999,8903,904,10808,1078,21533
Benin,BEN,2021,9,Predicted,7971,8548,577,11385,1082,22247
Benin,BEN,2021,10,Predicted,7911,8052,141,11527,1174,22393
Benin,BEN,2021,11,Predicted,7879,7953,74,11601,966,23216
Benin,BEN,2021,12,Predicted,7880,8133,253,11853,944,23856
Burkina Faso,BFA,2020,1,Predicted,12941,13903,962,962,-2368,4801
Burkina Faso,BFA,2020,2,Predicted,12720,13504,784,1746,-3097,7038
Burkina Faso,BFA,2020,3,Predicted,12376,12853,477,2222,-3661,8567
Burkina Faso,BFA,2020,4,Predicted,12281,12347,67,2289,-4148,9389
Burkina Faso,BFA,2020,5,Predicted,12359,12792,433,2722,-4302,10486
Burkina Faso,BFA,2020,6,Predicted,12557,13260,703,3425,-4309,12110
Burkina Faso,BFA,2020,7,Predicted,12751,13722,971,4396,-4479,13325
Burkina Faso,BFA,2020,8,Predicted,12866,13819,952,5348,-3941,14910
Burkina Faso,BFA,2020,9,Predicted,12816,13305,489,5838,-3747,16777
Burkina Faso,BFA,2020,10,Predicted,12702,13001,299,6136,-3971,16805
Burkina Faso,BFA,2020,11,Predicted,12763,12945,182,6318,-4516,17846
Burkina Faso,BFA,2020,12,Predicted,12765,13620,854,7173,-4654,18648
Burkina Faso,BFA,2021,1,Predicted,12943,14359,1416,8589,-4156,21103
Burkina Faso,BFA,2021,2,Predicted,12727,14601,1874,10462,-2875,23493
Burkina Faso,BFA,2021,3,Predicted,12380,13818,1438,11900,-2247,25600
Burkina Faso,BFA,2021,4,Predicted,12285,13719,1434,13334,-956,27900
Burkina Faso,BFA,2021,5,Predicted,12367,13706,1339,14673,107,29767
Burkina Faso,BFA,2021,6,Predicted,12561,13819,1258,15931,1795,31394
Burkina Faso,BFA,2021,7,Predicted,12756,14027,1272,17203,1703,33328
Burkina Faso,BFA,2021,8,Predicted,12871,14034,1163,18366,2814,34980
Burkina Faso,BFA,2021,9,Predicted,12818,13685,867,19233,3370,35816
Burkina Faso,BFA,2021,10,Predicted,12707,13518,811,20043,2728,36613
Burkina Faso,BFA,2021,11,Predicted,12761,13870,1109,21152,4513,38412
Burkina Faso,BFA,2021,12,Predicted,12771,13778,1007,22160,4867,40068
Bangladesh,BGD,2020,1,Predicted,70984,74439,3454,3454,-13360,23136
Bangladesh,BGD,2020,2,Predicted,69438,69666,228,3682,-20891,29696
Bangladesh,BGD,2020,3,Predicted,67686,66230,-1456,2226,-27890,34505
Bangladesh,BGD,2020,4,Predicted,66656,62156,-4500,-2274,-36155,33499
Bangladesh,BGD,2020,5,Predicted,66372,67511,1139,-1135,-37437,42664
Bangladesh,BGD,2020,6,Predicted,66078,76430,10353,9218,-32301,55918
Bangladesh,BGD,2020,7,Predicted,66047,77444,11397,20615,-27954,72478
Bangladesh,BGD,2020,8,Predicted,65909,75213,9304,29920,-22231,85881
Bangladesh,BGD,2020,9,Predicted,66012,70723,4710,34630,-18337,91089
Bangladesh,BGD,2020,10,Predicted,66148,68342,2193,36823,-17754,95942
Bangladesh,BGD,2020,11,Predicted,68171,72094,3923,40746,-16530,103969
Bangladesh,BGD,2020,12,Predicted,70195,75490,5295,46041,-15763,111410
Bangladesh,BGD,2021,1,Predicted,72248,75139,2891,48932,-14410,116684
Bangladesh,BGD,2021,2,Predicted,70675,70695,21,48952,-18022,120469
Bangladesh,BGD,2021,3,Predicted,68879,73479,4600,53552,-14499,124035
Bangladesh,BGD,2021,4,Predicted,67895,82171,14276,67828,-3371,145222
Bangladesh,BGD,2021,5,Predicted,67517,75732,8214,76042,-5205,149161
Bangladesh,BGD,2021,6,Predicted,67237,80250,13013,89055,8890,167299
Bangladesh,BGD,2021,7,Predicted,67210,89240,22030,111085,24246,191768
